,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,28:51,165,"1,615",531,6,25,38.5,211,11,401,212,10,20,515,2,89%,2,4,89%,274,20,0,14,7,0,0,86%,36/42,Storm vs Eels,Storm,2014
1,40%,19:14,127,"1,243",392,5,20,35.5,141,10,312,173,6,11,360,0,86%,2,1,88.6%,327,25,1,17,8,1,1,71%,25/35,Storm vs Eels,Eels,2014
