,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,88:00,FULL TIME,,,,,,Sharks vs Raiders,2019
1,88:00,Drop Goal-Made,Aidan Sezer,Raiders,,,14-15,Sharks vs Raiders,2019
2,87:40,Line Dropout,Kurt Capewell,Sharks,,,,Sharks vs Raiders,2019
3,85:01,Interchange - HIA,,Sharks,                   Jayson Bukuya,                   Wade Graham,,Sharks vs Raiders,2019
4,84:37,Interchange #10,,Sharks,                   Aaron Woods,                   Matt Prior,,Sharks vs Raiders,2019
5,84:19,Error,Bailey Simonsson,Raiders,,,,Sharks vs Raiders,2019
6,83:40,Interchange #10,,Raiders,                   Corey Horsburgh,                   Iosia Soliola,,Sharks vs Raiders,2019
7,81:44,Interchange #9,,Raiders,                   Ryan Sutton,                   Josh Papalii,,Sharks vs Raiders,2019
8,80:01,Interchange #9,,Sharks,                   Braden Hamlin-Uele,                   Andrew Fifita,,Sharks vs Raiders,2019
9,80:00,Drop Goal-Missed,Josh Hodgson,Raiders,,,,Sharks vs Raiders,2019
10,79:49,Error,Paul Gallen,Sharks,,,,Sharks vs Raiders,2019
11,77:39,Drop Goal-Made,Aidan Sezer,Raiders,,,14-14,Sharks vs Raiders,2019
12,77:08,Interchange #8,,Raiders,                   Iosia Soliola,                   Dunamis Lui,,Sharks vs Raiders,2019
13,76:40,Error,Briton Nikora,Sharks,,,,Sharks vs Raiders,2019
14,76:36,Interchange #8,,Sharks,                   Paul Gallen,                   Aaron Woods,,Sharks vs Raiders,2019
15,76:33,Drop Goal-Made,Chad Townsend,Sharks,,,14-13,Sharks vs Raiders,2019
16,75:29,Drop Goal-Missed,Josh Hodgson,Raiders,,,,Sharks vs Raiders,2019
17,73:58,Error,Chad Townsend,Sharks,,,,Sharks vs Raiders,2019
18,71:48,Interchange #7,,Raiders,                   Hudson Young,                   Siliva Havili,,Sharks vs Raiders,2019
19,70:26,Linebreak,Jayden Brailey,Sharks,,,,Sharks vs Raiders,2019
20,68:48,Drop Goal-Made,Chad Townsend,Sharks,,,13-13,Sharks vs Raiders,2019
21,67:47,Error,John Bateman,Raiders,,,,Sharks vs Raiders,2019
22,66:49,Interchange #7,,Sharks,                   Andrew Fifita,                   Jayson Bukuya,,Sharks vs Raiders,2019
23,66:30,Drop Goal-Made,Aidan Sezer,Raiders,,,12-13,Sharks vs Raiders,2019
24,65:17,Error,Jayson Bukuya,Sharks,,,,Sharks vs Raiders,2019
25,64:33,Penalty - Dangerous Tackle,Aidan Sezer,Raiders,,,,Sharks vs Raiders,2019
26,62:00,Interchange #6,,Raiders,                   Siliva Havili,                   Hudson Young,,Sharks vs Raiders,2019
27,60:57,Kick Bomb,Jack Wighton,Raiders,,,,Sharks vs Raiders,2019
28,59:57,Conversion-Made,Jarrod Croker,Raiders,,,12-12,Sharks vs Raiders,2019
29,58:27,Try,Nick Cotric,Raiders,,,12-10,Sharks vs Raiders,2019
30,58:26,Linebreak,Nick Cotric,Raiders,,,,Sharks vs Raiders,2019
31,58:09,Linebreak,Jarrod Croker,Raiders,,,,Sharks vs Raiders,2019
32,57:08,Interchange #6,,Sharks,                   Aaron Woods,                   Braden Hamlin-Uele,,Sharks vs Raiders,2019
33,56:51,Penalty - Ball Strip,Dunamis Lui,Raiders,,,,Sharks vs Raiders,2019
34,55:58,Error,Josh Hodgson,Raiders,,,,Sharks vs Raiders,2019
35,55:44,Interchange #5,,Raiders,                   Dunamis Lui,                   Corey Horsburgh,,Sharks vs Raiders,2019
36,55:24,Error,Briton Nikora,Sharks,,,,Sharks vs Raiders,2019
37,54:32,Kick Bomb,Aidan Sezer,Raiders,,,,Sharks vs Raiders,2019
38,52:27,Interchange #4,,Raiders,                   Josh Papalii,                   Iosia Soliola,,Sharks vs Raiders,2019
39,51:57,Kick Bomb,Chad Townsend,Sharks,,,,Sharks vs Raiders,2019
40,51:53,Interchange #5,,Sharks,                   Matt Prior,                   Paul Gallen,,Sharks vs Raiders,2019
41,50:31,Interchange #4,,Sharks,                   Jayson Bukuya,                   Andrew Fifita,,Sharks vs Raiders,2019
42,50:24,Conversion-Made,Jarrod Croker,Raiders,,,12-6,Sharks vs Raiders,2019
43,48:54,Try,Charnze Nicoll-Klokstad,Raiders,,,12-4,Sharks vs Raiders,2019
44,48:54,Linebreak,Charnze Nicoll-Klokstad,Raiders,,,,Sharks vs Raiders,2019
45,47:20,Penalty - Late Tackle,Wade Graham,Sharks,,,,Sharks vs Raiders,2019
46,43:42,Error,Josh Morris,Sharks,,,,Sharks vs Raiders,2019
47,42:37,Kick Bomb,Josh Hodgson,Raiders,,,,Sharks vs Raiders,2019
48,40:58,Kick Bomb,Jack Wighton,Raiders,,,,Sharks vs Raiders,2019
49,40:01,Interchange #3,,Sharks,                   Kurt Capewell,                   Josh Dugan,,Sharks vs Raiders,2019
50,39:47,Penalty - Flop,Andrew Fifita,Sharks,,,,Sharks vs Raiders,2019
51,39:13,Error,Andrew Fifita,Sharks,,,,Sharks vs Raiders,2019
52,38:44,Conversion-Missed,Kyle Flanagan,Sharks,,,,Sharks vs Raiders,2019
53,37:17,Try,Ronaldo Mulitalo,Sharks,,,12-0,Sharks vs Raiders,2019
54,37:16,Linebreak,Ronaldo Mulitalo,Sharks,,,,Sharks vs Raiders,2019
55,36:35,Line Dropout,Jack Wighton,Raiders,,,,Sharks vs Raiders,2019
56,35:05,Penalty - Ball Strip,Josh Hodgson,Raiders,,,,Sharks vs Raiders,2019
57,32:38,Penalty - Early Tackle,Ronaldo Mulitalo,Sharks,,,,Sharks vs Raiders,2019
58,30:43,Error,Josh Hodgson,Raiders,,,,Sharks vs Raiders,2019
59,29:51,Penalty - Hand in the Ruck,Hudson Young,Raiders,,,,Sharks vs Raiders,2019
60,29:06,Interchange #3,,Raiders,                   Hudson Young,                   Josh Papalii,,Sharks vs Raiders,2019
61,28:55,Kick Bomb,Chad Townsend,Sharks,,,,Sharks vs Raiders,2019
62,27:59,Interchange #2,,Sharks,                   Braden Hamlin-Uele,                   Aaron Woods,,Sharks vs Raiders,2019
63,27:59,Interchange #1,,Sharks,                   Andrew Fifita,                   Matt Prior,,Sharks vs Raiders,2019
64,27:54,Penalty - Obstruction,Iosia Soliola,Raiders,,,,Sharks vs Raiders,2019
65,27:23,Penalty - Slow Peel,Josh Dugan,Sharks,,,,Sharks vs Raiders,2019
66,26:02,Error,Sione Katoa,Sharks,,,,Sharks vs Raiders,2019
67,24:30,Error,Jayden Brailey,Sharks,,,,Sharks vs Raiders,2019
68,23:40,Interchange #2,,Raiders,                   Iosia Soliola,                   Ryan Sutton,,Sharks vs Raiders,2019
69,23:16,Interchange #1,,Raiders,                   Corey Horsburgh,                   Dunamis Lui,,Sharks vs Raiders,2019
70,22:05,Conversion-Missed,Kyle Flanagan,Sharks,,,,Sharks vs Raiders,2019
71,20:35,Try,Jayden Brailey,Sharks,,,8-0,Sharks vs Raiders,2019
72,20:33,Linebreak,Jayden Brailey,Sharks,,,,Sharks vs Raiders,2019
73,20:13,Interchange - HIA Cleared,,Sharks,                   Josh Morris,                   Kurt Capewell,,Sharks vs Raiders,2019
74,17:38,Conversion-Missed,Kyle Flanagan,Sharks,,,,Sharks vs Raiders,2019
75,16:14,Video Referee,Try,Sharks,,,,Sharks vs Raiders,2019
76,16:05,Try,Ronaldo Mulitalo,Sharks,,,4-0,Sharks vs Raiders,2019
77,16:05,Linebreak,Ronaldo Mulitalo,Sharks,,,,Sharks vs Raiders,2019
78,15:04,Error,Charnze Nicoll-Klokstad,Raiders,,,,Sharks vs Raiders,2019
79,15:00,Kick Bomb,Chad Townsend,Sharks,,,,Sharks vs Raiders,2019
80,10:39,Error,Josh Dugan,Sharks,,,,Sharks vs Raiders,2019
81,09:43,Line Dropout,Jack Wighton,Raiders,,,,Sharks vs Raiders,2019
82,08:51,Kick Bomb,Chad Townsend,Sharks,,,,Sharks vs Raiders,2019
83,08:02,Interchange - HIA,,Sharks,                   Kurt Capewell,                   Josh Morris,,Sharks vs Raiders,2019
84,07:51,Penalty - Slow Peel,Ryan Sutton,Raiders,,,,Sharks vs Raiders,2019
85,05:48,Kick Bomb,Chad Townsend,Sharks,,,,Sharks vs Raiders,2019
86,04:04,Error,Ryan Sutton,Raiders,,,,Sharks vs Raiders,2019
87,02:59,Penalty - 2nd Effort,Ronaldo Mulitalo,Sharks,,,,Sharks vs Raiders,2019
88,00:00,KICK OFF,,,,,,Sharks vs Raiders,2019
